x,t=5.00e-02s,t=1.00e+00s,t=1.00e+01s,t=1.00e+02s
9.949748743718593233e-03,1.867354714790270596e-101,1.867354714790270596e-101,1.867354714790270596e-101,1.867354714790270596e-101
1.000000000000000021e-02,-5.003279081178649680e-102,-5.003279081178649680e-102,-5.003279081178649680e-102,-5.003279081178649680e-102
1.005025125628140718e-02,1.340359472179579182e-102,1.340359472179579182e-102,1.340359472179579182e-102,1.340359472179579182e-102
1.010050251256281416e-02,-3.590772142653081112e-103,-3.590772142653081112e-103,-3.590772142653081112e-103,-3.590772142653081112e-103
1.015075376884422113e-02,9.619542255695665077e-104,9.619542255695665077e-104,9.619542255695665077e-104,9.619542255695665077e-104
1.020100502512562811e-02,-2.577038852171318948e-104,-2.577038852171318948e-104,-2.577038852171318948e-104,-2.577038852171318948e-104
1.025125628140703508e-02,6.903789254284217421e-105,6.903789254284217421e-105,6.903789254284217421e-105,6.903789254284217421e-105
1.030150753768844206e-02,-1.849498932754223043e-105,-1.849498932754223043e-105,-1.849498932754223043e-105,-1.849498932754223043e-105
1.035175879396984903e-02,4.954737429356340261e-106,4.954737429356340261e-106,4.954737429356340261e-106,4.954737429356340261e-106
1.040201005025125601e-02,-1.327355347932336428e-106,-1.327355347932336428e-106,-1.327355347932336428e-106,-1.327355347932336428e-106
1.045226130653266298e-02,3.555934587463004758e-107,3.555934587463004758e-107,3.555934587463004758e-107,3.555934587463004758e-107
1.050251256281406996e-02,-9.526213767860045878e-108,-9.526213767860045878e-108,-9.526213767860045878e-108,-9.526213767860045878e-108
1.055276381909547694e-02,2.552036504577868780e-108,2.552036504577868780e-108,2.552036504577868780e-108,2.552036504577868780e-108
1.060301507537688391e-02,-6.836808914231476365e-109,-6.836808914231476365e-109,-6.836808914231476365e-109,-6.836808914231476365e-109
1.065326633165829089e-02,1.831555153927780324e-109,1.831555153927780324e-109,1.831555153927780324e-109,1.831555153927780324e-109
1.070351758793969960e-02,-4.906666727070004059e-110,-4.906666727070004059e-110,-4.906666727070004059e-110,-4.906666727070004059e-110
1.075376884422110657e-02,1.314477389277942080e-110,1.314477389277942080e-110,1.314477389277942080e-110,1.314477389277942080e-110
1.080402010050251355e-02,-3.521435025106613996e-111,-3.521435025106613996e-111,-3.521435025106613996e-111,-3.521435025106613996e-111
1.085427135678392052e-02,9.433790749994842702e-112,9.433790749994842702e-112,9.433790749994842702e-112,9.433790749994842702e-112
1.090452261306532750e-02,-2.527276728952107159e-112,-2.527276728952107159e-112,-2.527276728952107159e-112,-2.527276728952107159e-112
1.095477386934673447e-02,6.770478415271564764e-113,6.770478415271564764e-113,6.770478415271564764e-113,6.770478415271564764e-113
1.100502512562814145e-02,-1.813785465063205961e-113,-1.813785465063205961e-113,-1.813785465063205961e-113,-1.813785465063205961e-113
1.105527638190954842e-02,4.859062405182478637e-114,4.859062405182478637e-114,4.859062405182478637e-114,4.859062405182478637e-114
